author_login,committer_login
kamel-bouhara,thierryreding
None,thierryreding
ukleinek,thierryreding
dsahern,kuba-moo
dsahern,kuba-moo
dsahern,kuba-moo
commodo,kuba-moo
dcaratti,kuba-moo
ukleinek,thierryreding
ukleinek,thierryreding
ukleinek,thierryreding
ukleinek,thierryreding
ukleinek,thierryreding
ukleinek,thierryreding
lategoodbye,thierryreding
lategoodbye,thierryreding
lategoodbye,thierryreding
shimoday,thierryreding
wangbaolin719,thierryreding
wangbaolin719,thierryreding
Fabo,thierryreding
Fabo,thierryreding
bebarino,thierryreding
ukleinek,thierryreding
ukleinek,thierryreding
torvalds,torvalds
torvalds,torvalds
chleroy,mpe
chleroy,mpe
iamjpn,mpe
apopple,mpe
None,mpe
None,mpe
None,thierryreding
Anson-Huang,thierryreding
torvalds,torvalds
paulburton,paulburton
paulburton,paulburton
htejun,htejun
htejun,htejun
trondmy,trondmy
trondmy,trondmy
trondmy,trondmy
trondmy,trondmy
trondmy,trondmy
trondmy,trondmy
trondmy,trondmy
trondmy,trondmy
None,bjorn-helgaas
None,bjorn-helgaas
None,bjorn-helgaas
None,bjorn-helgaas
trondmy,trondmy
None,None
None,None
None,None
chucklever,chucklever
trondmy,trondmy
None,None
None,None
roybenshlomo,roybenshlomo
None,atseanpaul
None,None
torvalds,torvalds
vsyrjala,vsyrjala
vsyrjala,vsyrjala
vsyrjala,vsyrjala
vsyrjala,vsyrjala
vsyrjala,vsyrjala
vsyrjala,vsyrjala
vsyrjala,vsyrjala
vsyrjala,vsyrjala
torvalds,torvalds
vsyrjala,vsyrjala
vsyrjala,vsyrjala
mhiramat,mhiramat
torvalds,torvalds
mhiramat,mhiramat
torvalds,torvalds
olsajiri,olsajiri
anushasr,anushasr
None,None
None,None
None,None
None,None
None,None
torvalds,torvalds
neilbrown,neilbrown
neilbrown,neilbrown
None,None
torvalds,torvalds
vsyrjala,vsyrjala
None,vsyrjala
None,vsyrjala
None,paul-walmsley-sifive
lbmeng,paul-walmsley-sifive
lbmeng,paul-walmsley-sifive
torvalds,torvalds
atishp04,paul-walmsley-sifive
avpatel,paul-walmsley-sifive
wxjstz,paul-walmsley-sifive
None,andy-shev
skrishankar,andy-shev
fourdollars,tiwai
anjutsudhakar,anjutsudhakar
anjutsudhakar,anjutsudhakar
anjutsudhakar,anjutsudhakar
ColinIanKing,ColinIanKing
srikard,srikard
srikard,srikard
None,None
None,None
arndb,herbertx
vivier,herbertx
yeyunfeng-dev,herbertx
yeyunfeng-dev,herbertx
yeyunfeng-dev,herbertx
None,herbertx
GustavoARSilva,herbertx
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
James-A-Clark,James-A-Clark
None,None
miquelraynal,broonie
miquelraynal,broonie
arndb,broonie
ujfalusi,broonie
bardliao,broonie
ickle,ickle
ickle,ickle
ickle,ickle
ickle,ickle
ickle,ickle
None,ummakynes
ummakynes,ummakynes
ummakynes,ummakynes
jmglogow,tiwai
arndb,arndb
tiwai,tiwai
None,lftan
donaldsharp,kuba-moo
jrbyrne,kuba-moo
vijaykhemka,kuba-moo
None,kuba-moo
nathanchance,kuba-moo
torvalds,torvalds
None,djwong
matthewbobrowski,djwong
bebarino,bebarino
bebarino,bebarino
bebarino,bebarino
bebarino,bebarino
bebarino,bebarino
bebarino,bebarino
bebarino,bebarino
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
androm3da,androm3da
itoral,anholt
jmberg,jmberg
vsyrjala,vsyrjala
vsyrjala,vsyrjala
vsyrjala,vsyrjala
vsyrjala,vsyrjala
gaurijhangiani,axboe
torvalds,torvalds
vsyrjala,vsyrjala
vsyrjala,vsyrjala
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
None,robherring
None,robherring
broonie,robherring
torvalds,torvalds
mthierry,lucasdemarchi
lrq-max,lrq-max
None,mattrope
mattrope,mattrope
mattrope,mattrope
mhiramat,rostedt
mhiramat,rostedt
ickle,ickle
jhovold,Stefan-Schmidt
atseanpaul,atseanpaul
atseanpaul,atseanpaul
mhiramat,rostedt
ukleinek,robherring
avpatel,paul-walmsley-sifive
greentime,paul-walmsley-sifive
yashshah7,paul-walmsley-sifive
None,borkmann
None,borkmann
None,borkmann
tohojo,borkmann
spandruvada,andy-shev
spandruvada,andy-shev
spandruvada,andy-shev
spandruvada,andy-shev
spandruvada,andy-shev
None,andy-shev
oneukum,davem330
None,mpe
None,None
None,None
hfreude,hfreude
cohuck,cohuck
ifranzki,ifranzki
ickle,ickle
None,ickle
linusw,michalsimek
andyprice,andyprice
dhowells,dhowells
dhowells,dhowells
dhowells,dhowells
dhowells,dhowells
dhowells,dhowells
htejun,htejun
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
None,None
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
itoral,anholt
morimoto,broonie
torvalds,torvalds
torvalds,torvalds
danvet,danvet
axboe,axboe
danvet,danvet
danvet,danvet
torvalds,torvalds
tytso,tytso
d4ddi0,bentiss
d4ddi0,bentiss
d4ddi0,bentiss
None,bonzini
None,None
None,None
sudeep-holla,sudeep-holla
sudeep-holla,sudeep-holla
None,None
ickle,ickle
None,None
danvet,danvet
cailca,cailca
jeremycline,willdeacon
gclement,broonie
mattrope,ickle
danvet,danvet
lowli01,lowli01
None,None
michalsimek,michalsimek
michalsimek,michalsimek
None,michalsimek
MrVan,bebarino
MrVan,bebarino
MrVan,bebarino
benpeled,bebarino
benpeled,bebarino
omrii,bebarino
miquelraynal,bebarino
benpeled,bebarino
chrisg92,bebarino
miquelraynal,bebarino
miquelraynal,bebarino
lyrazhang,bebarino
ehristev,bebarino
None,None
None,None
None,None
torvalds,torvalds
torvalds,torvalds
rnav,mpe
rnav,mpe
rnav,mpe
None,None
torvalds,torvalds
torvalds,torvalds
lxbsz,axboe
lxbsz,axboe
Algodev-github,axboe
Algodev-github,axboe
Algodev-github,axboe
Algodev-github,axboe
None,axboe
None,axboe
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
andersson,andersson
kees,kees
davem330,davem330
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
None,None
torvalds,torvalds
torvalds,torvalds
andersson,bebarino
Mani-Sadhasivam,bebarino
None,None
None,None
None,None
None,None
khfeng,khfeng
None,None
None,None
fxkamd,fxkamd
None,None
trek00,trek00
jwrdegoede,jwrdegoede
None,None
None,None
torvalds,torvalds
None,None
None,None
None,None
None,None
trondmy,trondmy
trondmy,trondmy
trondmy,trondmy
torvalds,torvalds
None,None
None,None
torvalds,torvalds
micah-morton,micah-morton
torvalds,torvalds
torvalds,torvalds
Lyude,Lyude
Lyude,Lyude
Lyude,Lyude
torvalds,torvalds
None,bebarino
lkundrak,bebarino
masahir0y,bebarino
bebarino,bebarino
WeiyiLu,bebarino
WeiyiLu,bebarino
None,bebarino
None,bebarino
torvalds,torvalds
lategoodbye,bebarino
lategoodbye,bebarino
lategoodbye,bebarino
lategoodbye,bebarino
None,None
None,None
rostedt,rostedt
medude,broonie
medude,broonie
bardliao,broonie
None,broonie
ColinIanKing,krisman-at-collabora
kwilczynski,krisman-at-collabora
mhiramat,rostedt
None,rostedt
andy-shev,rostedt
changbindu,rostedt
None,None
ickle,ickle
ickle,ickle
ColinIanKing,ColinIanKing
miaoqing-pan,miaoqing-pan
None,None
None,None
psyborg55,psyborg55
gomonovych,gomonovych
None,None
andersson,andersson
andersson,andersson
andersson,andersson
None,mpe
andersson,andersson
hauke,hauke
None,mpe
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
ColinIanKing,danvet
ColinIanKing,danvet
samitolvanen,willdeacon
xairy,willdeacon
arndb,willdeacon
None,None
None,None
None,None
lowli01,lowli01
cailca,cailca
Sudokamikaze,tiwai
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
jaretcantu,jaretcantu
ldts,ldts
ldts,ldts
redbrain17,redbrain17
fr0st61te,fr0st61te
fr0st61te,fr0st61te
cpackham,cpackham
Anson-Huang,Anson-Huang
Anson-Huang,Anson-Huang
mripard,mripard
mripard,mripard
mripard,mripard
mripard,mripard
aspeedtech,aspeedtech
shenki,shenki
ndreys,ndreys
ndreys,ndreys
ndreys,ndreys
ndreys,ndreys
ndreys,ndreys
ndreys,ndreys
ndreys,ndreys
ndreys,ndreys
ndreys,ndreys
ndreys,ndreys
ndreys,ndreys
ndreys,ndreys
ndreys,ndreys
ndreys,ndreys
ndreys,ndreys
ndreys,ndreys
ndreys,ndreys
ndreys,ndreys
ndreys,ndreys
ndreys,ndreys
Anson-Huang,Anson-Huang
Villemoes,Villemoes
arndb,arndb
groeck,groeck
airlied,airlied
ldts,ldts
None,None
None,None
None,None
None,None
ldts,ldts
ldts,ldts
airlied,airlied
BibbyHsieh,BibbyHsieh
BibbyHsieh,BibbyHsieh
BibbyHsieh,BibbyHsieh
BibbyHsieh,BibbyHsieh
WillLester,WillLester
airlied,airlied
airlied,airlied
None,skeggsb
None,skeggsb
None,skeggsb
None,skeggsb
Lyude,skeggsb
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
None,None
torvalds,torvalds
torvalds,torvalds
None,None
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
zehortigoza,mdnavare
zehortigoza,mdnavare
ElementalWarrior,tiwai
takaswie,tiwai
torvalds,torvalds
torvalds,torvalds
ickle,ickle
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
ehristev,bebarino
ehristev,bebarino
arndb,arndb
arndb,arndb
arndb,arndb
davem330,davem330
None,davem330
None,davem330
None,davem330
davem330,davem330
akiyano,davem330
akiyano,davem330
akiyano,davem330
akiyano,davem330
akiyano,davem330
akiyano,davem330
akiyano,davem330
akiyano,davem330
akiyano,davem330
akiyano,davem330
akiyano,davem330
davem330,davem330
commodo,davem330
commodo,davem330
None,davem330
elfring,davem330
sameehj,davem330
davem330,davem330
idosch,davem330
davem330,davem330
vladimiroltean,davem330
vladimiroltean,davem330
vladimiroltean,davem330
vladimiroltean,davem330
vladimiroltean,davem330
vcgomes,davem330
jnikula,jnikula
None,jgunthorpe
galpress,jgunthorpe
None,jgunthorpe
dtor,dtor
None,None
None,None
pcacjr,pcacjr
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
ColinIanKing,ColinIanKing
None,None
None,None
None,None
None,None
None,None
zhengbin13,zhengbin13
ColinIanKing,ColinIanKing
None,None
None,None
None,None
None,None
None,None
ColinIanKing,ColinIanKing
None,None
None,jgunthorpe
torvalds,torvalds
xiongzhongjiang,xiongzhongjiang
jdelvare,jdelvare
jdelvare,jdelvare
trek00,trek00
jwrdegoede,jwrdegoede
ColinIanKing,ColinIanKing
kentrussell,kentrussell
None,None
None,None
None,None
None,None
None,None
chaseyu,chaseyu
chaseyu,chaseyu
chaseyu,chaseyu
chaseyu,chaseyu
None,None
lockywolf,lockywolf
goldwynr,goldwynr
chaseyu,chaseyu
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
fxkamd,fxkamd
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
huangrui,huangrui
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
huangrui,huangrui
huangrui,huangrui
huangrui,huangrui
huangrui,huangrui
huangrui,huangrui
huangrui,huangrui
huangrui,huangrui
huangrui,huangrui
huangrui,huangrui
huangrui,huangrui
YongZhao12,YongZhao12
fxkamd,fxkamd
YongZhao12,YongZhao12
None,None
None,davem330
None,None
davem330,davem330
None,davem330
None,davem330
None,davem330
None,davem330
andrealmeid,axboe
andrealmeid,axboe
andrealmeid,axboe
linusw,arndb
None,davem330
None,davem330
dtor,davem330
None,snitm
davem330,davem330
ColinIanKing,jgunthorpe
oulijun,jgunthorpe
None,jgunthorpe
None,None
None,None
None,None
benjamingaignard,Benjamin-Gaignard
None,None
benjamingaignard,Benjamin-Gaignard
YFESTM,Benjamin-Gaignard
None,None
AGSaidi,AGSaidi
None,None
None,None
vsyrjala,vsyrjala
vsyrjala,vsyrjala
vsyrjala,vsyrjala
vsyrjala,vsyrjala
masahir0y,masahir0y
None,None
sebott,sebott
pmladek,pmladek
jtlayton,idryomov
idryomov,idryomov
idryomov,idryomov
luis-henrix,idryomov
idryomov,idryomov
kwilczynski,idryomov
idryomov,idryomov
None,idryomov
idryomov,idryomov
johnhubbard,idryomov
yangdongsheng,idryomov
jtlayton,idryomov
jtlayton,idryomov
jtlayton,idryomov
jtlayton,idryomov
ddiss,idryomov
johnhubbard,idryomov
jtlayton,idryomov
jtlayton,idryomov
idryomov,idryomov
jtlayton,idryomov
jtlayton,idryomov
jtlayton,idryomov
jtlayton,idryomov
jtlayton,idryomov
jtlayton,idryomov
jtlayton,idryomov
jtlayton,idryomov
jtlayton,idryomov
ukernel,idryomov
ukernel,idryomov
ukernel,idryomov
ukernel,idryomov
ukernel,idryomov
ukernel,idryomov
ukernel,idryomov
ukernel,idryomov
ukernel,idryomov
jtlayton,idryomov
jtlayton,idryomov
luis-henrix,idryomov
iii-i,borkmann
masneyb,masneyb
masneyb,masneyb
masneyb,masneyb
masneyb,masneyb
tohojo,borkmann
borkmann,borkmann
cloftus,borkmann
cloftus,borkmann
iii-i,borkmann
commodo,davem330
jnikula,jnikula
davem330,davem330
vbuslov,davem330
vbuslov,davem330
vbuslov,davem330
None,davem330
None,davem330
None,davem330
None,davem330
lxin,davem330
ColinIanKing,davem330
ffainelli,davem330
wdebruij,davem330
None,richardweinberger
tiwai,tiwai
None,axboe
None,axboe
zhengbin13,richardweinberger
ikegami-t,richardweinberger
None,richardweinberger
linusw,richardweinberger
linusw,richardweinberger
linusw,richardweinberger
linusw,richardweinberger
linusw,richardweinberger
None,richardweinberger
nixiaoming,richardweinberger
None,richardweinberger
torvalds,torvalds
richardweinberger,richardweinberger
richardweinberger,richardweinberger
richardweinberger,richardweinberger
None,richardweinberger
None,richardweinberger
XidianGeneral,richardweinberger
richardweinberger,richardweinberger
None,richardweinberger
None,richardweinberger
None,richardweinberger
None,richardweinberger
richardweinberger,richardweinberger
ColinIanKing,richardweinberger
alexdewar,richardweinberger
alexdewar,richardweinberger
alexdewar,richardweinberger
alexdewar,richardweinberger
jmberg,richardweinberger
jmberg,richardweinberger
None,richardweinberger
jmberg,richardweinberger
jmberg,richardweinberger
jmberg,richardweinberger
jmberg,richardweinberger
jmberg,richardweinberger
jmberg,richardweinberger
jmberg,richardweinberger
jmberg,richardweinberger
jmberg,richardweinberger
jmberg,richardweinberger
jmberg,richardweinberger
None,richardweinberger
None,richardweinberger
None,richardweinberger
None,richardweinberger
masahir0y,richardweinberger
None,richardweinberger
torvalds,torvalds
gerd-rausch,davem330
congwang,davem330
lunn,davem330
None,davem330
Villemoes,ojeda
Villemoes,ojeda
Villemoes,ojeda
Villemoes,ojeda
Villemoes,ojeda
Villemoes,ojeda
None,None
andy-shev,andy-shev
andreamerello,jic23
davem330,davem330
LorenzoBianconi,jic23
LorenzoBianconi,jic23
andreamerello,jic23
rsarky,jic23
kwilczynski,jic23
broonie,broonie
broonie,broonie
broonie,broonie
broonie,broonie
saiyamd,broonie
bwhacks,bwhacks
torvalds,torvalds
danobi,axboe
torvalds,torvalds
torvalds,torvalds
mstsirkin,mstsirkin
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
isilence,axboe
tiwai,tiwai
davem330,davem330
JoePerches,JoePerches
palmer-dabbelt,palmer-dabbelt
FedericoVaga,FedericoVaga
ian-abbott,ian-abbott
bonzini,bonzini
sean-jc,bonzini
None,bonzini
bonzini,bonzini
masahir0y,masahir0y
masahir0y,masahir0y
masahir0y,masahir0y
masahir0y,masahir0y
paul-walmsley-sifive,paul-walmsley-sifive
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
YongZhao12,YongZhao12
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
YongZhao12,YongZhao12
fxkamd,fxkamd
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
fxkamd,fxkamd
fxkamd,fxkamd
fxkamd,fxkamd
None,None
None,None
None,bonzini
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
ColinIanKing,robherring
ukleinek,robherring
ukleinek,robherring
axboe,axboe
None,snitm
None,ickle
None,liu-song-6
None,liu-song-6
davem330,davem330
jpirko,davem330
jpirko,davem330
jpirko,davem330
neilbrown,liu-song-6
neilbrown,liu-song-6
None,liu-song-6
bmork,davem330
davem330,davem330
None,davem330
None,davem330
None,davem330
weiny2,jgunthorpe
None,jgunthorpe
None,jgunthorpe
BernardMetzler,jgunthorpe
jgunthorpe,jgunthorpe
SergeyGorenko,jgunthorpe
BernardMetzler,jgunthorpe
Navidem,jgunthorpe
arndb,jgunthorpe
jgunthorpe,jgunthorpe
None,jgunthorpe
XiaoJiang,jgunthorpe
Hakon-Bugge,jgunthorpe
wdebruij,davem330
mthierry,ickle
None,ickle
ickle,ickle
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
legoater,mpe
legoater,mpe
lwfinger,lwfinger
lwfinger,lwfinger
lwfinger,lwfinger
lwfinger,lwfinger
lwfinger,lwfinger
lwfinger,lwfinger
lwfinger,lwfinger
lwfinger,lwfinger
lwfinger,lwfinger
None,snitm
None,snitm
None,snitm
None,snitm
lkundrak,lkundrak
ColinIanKing,ColinIanKing
None,None
jonhunter,jonhunter
None,None
ickle,ickle
cailca,mpe
None,mpe
None,mpe
None,mpe
None,mpe
None,mpe
None,mpe
None,mpe
None,mpe
None,mpe
None,mpe
None,mpe
None,mpe
None,mpe
None,mpe
None,mpe
None,mpe
None,mpe
None,mpe
None,mpe
None,mpe
None,mpe
None,mpe
None,mpe
None,mpe
None,mpe
None,mpe
None,mpe
None,mpe
None,mpe
None,mpe
None,mpe
None,mpe
mpe,mpe
mpe,mpe
mpe,mpe
mpe,mpe
mpe,mpe
mpe,mpe
None,davem330
None,davem330
Jkirsher,davem330
davem330,davem330
davem330,davem330
xiongzhongjiang,xiongzhongjiang
ColinIanKing,ColinIanKing
ColinIanKing,ColinIanKing
None,None
None,None
None,None
mdnavare,mlankhorst
mdnavare,mlankhorst
davem330,davem330
groeck,groeck
None,linusw
None,None
groeck,groeck
storulf,storulf
storulf,storulf
storulf,storulf
storulf,storulf
None,None
herbertx,herbertx
urishir,herbertx
None,herbertx
None,herbertx
None,herbertx
None,herbertx
None,herbertx
None,herbertx
None,herbertx
None,herbertx
None,herbertx
None,herbertx
None,herbertx
None,herbertx
None,herbertx
None,herbertx
None,herbertx
ndreys,herbertx
a3a3el,ummakynes
a3a3el,ummakynes
a3a3el,ummakynes
a3a3el,ummakynes
a3a3el,ummakynes
a3a3el,ummakynes
a3a3el,ummakynes
a3a3el,ummakynes
a3a3el,ummakynes
a3a3el,ummakynes
a3a3el,ummakynes
a3a3el,ummakynes
a3a3el,ummakynes
a3a3el,ummakynes
a3a3el,ummakynes
None,heicarst
jschmidb,heicarst
None,heicarst
None,broonie
None,broonie
None,broonie
a3a3el,ummakynes
a3a3el,ummakynes
None,broonie
None,ummakynes
torvalds,torvalds
torvalds,torvalds
yakir-Yang,superna9999
None,ummakynes
None,ummakynes
ickle,ickle
None,None
None,kraxel
kraxel,kraxel
None,None
qperret,qperret
dhowells,dhowells
dhowells,dhowells
None,None
None,None
None,None
None,None
None,ummakynes
rgushchin,htejun
rgushchin,htejun
None,cminyard
axboe,axboe
axboe,axboe
ickle,ickle
ivyl,ickle
ickle,ickle
idruzhinin,idruzhinin
None,groeck
murpdj72,jacek-anaszewski
None,Jkirsher
None,Jkirsher
None,Jkirsher
None,Jkirsher
ColinIanKing,hubcapsc
None,hubcapsc
None,None
None,None
None,None
None,None
None,Jkirsher
None,Jkirsher
axboe,axboe
ickle,ickle
None,sagigrimberg
sagigrimberg,sagigrimberg
sagigrimberg,sagigrimberg
sagigrimberg,sagigrimberg
sagigrimberg,sagigrimberg
None,sagigrimberg
jsmart-gh,sagigrimberg
sagigrimberg,sagigrimberg
sagigrimberg,sagigrimberg
sagigrimberg,sagigrimberg
sagigrimberg,sagigrimberg
None,sagigrimberg
sagigrimberg,sagigrimberg
sagigrimberg,sagigrimberg
jnikula,jnikula
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
drinkcat,drinkcat
greearb,greearb
andy-shev,andy-shev
Navidem,eballetbo
eballetbo,eballetbo
None,eballetbo
None,eballetbo
ickle,torvalds
torvalds,torvalds
jer-gentoo,hdeller
torvalds,torvalds
ntsiron,snitm
willdeacon,flaming-toast
airlied,airlied
None,axboe
None,axboe
None,axboe
airlied,airlied
mstsirkin,mstsirkin
dagrh,dagrh
rhvgoyal,rhvgoyal
None,None
None,None
rhvgoyal,rhvgoyal
None,None
None,None
rhvgoyal,rhvgoyal
None,None
rhvgoyal,rhvgoyal
None,None
None,None
None,None
esyr-rh,brauner
None,None
shimoday,shimoday
shimoday,shimoday
huth,borntraeger
ickle,ickle
ickle,ickle
None,linusw
linusw,linusw
tititiou36,davem330
ardrabczyk,davem330
arndb,arndb
None,davem330
fdmanana,kdave
fdmanana,kdave
None,borntraeger
Navidem,davem330
None,davem330
ickle,ickle
davem330,davem330
gmccollister,davem330
gmccollister,davem330
None,davem330
tititiou36,davem330
None,davem330
chaseyu,jankara
torvalds,torvalds
arndb,arndb
amboar,arndb
shenki,arndb
torvalds,torvalds
arndb,arndb
torvalds,torvalds
torvalds,torvalds
vsyrjala,ickle
vsyrjala,ickle
vsyrjala,ickle
volysandro,gregkh
volysandro,gregkh
rsarky,gregkh
ajaykathat,gregkh
ajaykathat,gregkh
ColinIanKing,gregkh
rayagonda,linusw
ColinIanKing,gregkh
None,gregkh
None,gregkh
saiyamd,gregkh
ehristev,gregkh
ehristev,gregkh
None,gregkh
vvidic,gregkh
dtor,linusw
ColinIanKing,linusw
volysandro,gregkh
vvidic,gregkh
vvidic,gregkh
vvidic,gregkh
None,linusw
torvalds,torvalds
None,kraxel
None,kraxel
gkurz,mpe
None,mpe
None,mpe
hegdevasant,mpe
hegdevasant,mpe
segher,mpe
amboar,linusw
davem330,davem330
saiyamd,linusw
None,davem330
None,davem330
nealcardwell,davem330
None,davem330
None,davem330
vitaly-gaiduk,davem330
vitaly-gaiduk,davem330
andrealmeid,axboe
andrealmeid,axboe
andrealmeid,axboe
arndb,arndb
None,snitm
masahir0y,flaming-toast
masahir0y,flaming-toast
masahir0y,flaming-toast
jnikula,jnikula
yongduan,mstsirkin
mstsirkin,mstsirkin
ickle,ickle
None,None
willdeacon,flaming-toast
igsilya,Jkirsher
None,Jkirsher
None,bonzini
magnus-karlsson,Jkirsher
ColinIanKing,Jkirsher
None,Jkirsher
nickcooper-zhangtonghao,Jkirsher
sassmann,Jkirsher
None,Jkirsher
None,bonzini
bonzini,bonzini
None,bonzini
None,bonzini
jpalecek,bonzini
None,bonzini
None,bonzini
None,None
jpemartins,jpemartins
jpemartins,jpemartins
jpemartins,jpemartins
jpemartins,jpemartins
None,None
sean-jc,bonzini
sean-jc,bonzini
None,bonzini
ickle,ickle
broonie,broonie
broonie,broonie
l1k,broonie
l1k,broonie
l1k,broonie
l1k,broonie
ujfalusi,broonie
l1k,broonie
l1k,broonie
l1k,broonie
l1k,broonie
l1k,broonie
commodo,davem330
commodo,davem330
ColinIanKing,davem330
ColinIanKing,davem330
davem330,davem330
None,davem330
None,davem330
ColinIanKing,davem330
salyzyn,salyzyn
None,None
ColinIanKing,storulf
ColinIanKing,storulf
storulf,storulf
storulf,storulf
storulf,storulf
storulf,storulf
storulf,storulf
storulf,storulf
storulf,storulf
None,storulf
storulf,storulf
storulf,storulf
storulf,storulf
davem330,davem330
None,davem330
None,davem330
ColinIanKing,davem330
kcp-git,davem330
vsyrjala,vsyrjala
None,davem330
storulf,storulf
vsyrjala,vsyrjala
shirleyher3118,storulf
shirleyher3118,storulf
shirleyher3118,storulf
alcooper,storulf
amboar,storulf
amboar,storulf
amboar,storulf
amboar,storulf
andy-shev,storulf
None,storulf
masahir0y,storulf
masahir0y,storulf
masahir0y,storulf
None,storulf
None,storulf
None,storulf
None,storulf
None,storulf
vadvel,storulf
vadvel,storulf
None,storulf
amboar,storulf
lategoodbye,storulf
amboar,storulf
amboar,storulf
dsd,storulf
lategoodbye,storulf
davem330,davem330
None,linusw
None,linusw
None,linusw
None,linusw
None,linusw
None,bonzini
ickle,ickle
ickle,ickle
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
joergroedel,joergroedel
ickle,joergroedel
None,joergroedel
LuBaolu,joergroedel
LuBaolu,joergroedel
LuBaolu,joergroedel
LuBaolu,joergroedel
LuBaolu,joergroedel
goldelico,broonie
dtor,broonie
dtor,broonie
saiyamd,broonie
RashmicaG,linusw
RashmicaG,linusw
RashmicaG,linusw
RashmicaG,linusw
RashmicaG,linusw
jwrdegoede,linusw
rayagonda,linusw
lijinbrcm,linusw
robherring,robherring
robherring,robherring
denkenz,jmberg
None,davem330
davem330,davem330
davem330,davem330
None,davem330
None,davem330
None,davem330
None,davem330
None,davem330
None,davem330
None,davem330
Navidem,davem330
davem330,davem330
None,davem330
None,davem330
None,davem330
None,davem330
liuyonglong86,davem330
321lipeng,davem330
None,davem330
kaydenl,ickle
None,jmberg
masap,jmberg
None,jmberg
xiongzhongjiang,jmberg
jmberg,jmberg
None,jmberg
None,jmberg
jmberg,jmberg
ickle,ickle
jmberg,jmberg
jmberg,jmberg
None,jmberg
None,jmberg
None,None
None,None
None,None
None,None
kraxel,kraxel
kraxel,kraxel
kraxel,kraxel
kraxel,kraxel
kraxel,kraxel
kraxel,kraxel
kraxel,kraxel
mattrope,mattrope
mattrope,mattrope
mattrope,mattrope
mattrope,mattrope
mattrope,mattrope
mattrope,mattrope
mattrope,mattrope
mattrope,mattrope
None,martinkpetersen
None,martinkpetersen
Luojiaxing1991,martinkpetersen
Luojiaxing1991,martinkpetersen
None,martinkpetersen
Luojiaxing1991,martinkpetersen
None,martinkpetersen
None,martinkpetersen
None,martinkpetersen
Luojiaxing1991,martinkpetersen
Luojiaxing1991,martinkpetersen
Luojiaxing1991,martinkpetersen
Luojiaxing1991,martinkpetersen
None,martinkpetersen
